UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
UEI-IMD-FL-2015-0031,2015-07-25,2015-07-31,6,Heavy Rain & Flash Flood,NA,"Badgam, Ganderbal, Kishtwar, Ramban ",JAMMU & KASHMIR,NA,NA,NA,NA,4,19,NA,NA,4 persons died & 19 other injured near base camp of Amarnath yatra at Baltal.,i) Damage to Agricultural land reported. ii) Damage to several Govt. buildings & residential houses reported.,IMD,NA
UEI-IMD-FL-2015-0032,2015-09-23,2015-09-23,0,Heavy Rain & Flash Flood,NA,"Anantnag, Kulgam ",JAMMU & KASHMIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Damage to Orchards and standing crops reported. ii) Damage to a dozen houses, two school buildings and several cowsheds reported. ",IMD,NA
UEI-IMD-FL-2015-0033,2015-06-03,2015-03-14,Diffing the dates,Heavy rains,NA,"Ballari, Dakshina Kannada, Gadag, Hassan, Uttar Kannada",KARNATAKA,NA,NA,NA,NA,1,NA,NA,4,1 man died temple wall collapse. 4 cattle heads perished.,"i)Damage to standing crops & Mango, Banana trees reported. ii) Damage to 8 houses reported.",IMD,NA
UEI-IMD-FL-2015-0034,2015-07-04,2015-12-04,153,Heavy rains,NA,"Ballari,  Bidar, Hassan, Kodagu, Raichur ",KARNATAKA,NA,NA,NA,NA,4,1,NA,NA,4 persons died & One girl injured due to roof  of house collapsed,"i) Damage to Paddy crops, thousands of Banana plants, hundreds of Coconut trees & Rice bags reported ii) Damage to many houses reported. iii)  Damage to about 250 Tin-sheds reported. iv)  Many trees/electric poles uprooted. ",IMD,NA
UEI-IMD-FL-2015-0035,2015-04-22,2015-04-23,1,Heavy rains,NA,"Bangalore Urban, Shimoga,  Tumkur",KARNATAKA,NA,NA,NA,NA,1,4,NA,NA,One person died due  to wall collapse in Bangalore Urban &  4 persons injured in Shimoga Dist,"i) Damage to Banana, Coconut, Mango, Jackfruit trees reported. ii) Damage to several houses reported. iii) Damage worth lakhs rupees reported.  iv) Many trees / electric poles uprooted",IMD,NA
UEI-IMD-FL-2015-0036,2015-04-05,2015-11-05,214,Heavy rains,NA,"Raichur, Tumkur ",KARNATAKA,NA,NA,NA,NA,2,1,NA,NA,2 persons died & one other injured due to wall collapse ,Damage to Paddy crops resulting loss of lakhs of rupees reported. ,IMD,NA
UEI-IMD-FL-2015-0037,2015-05-27,2015-05-31,4,Heavy rains,NA,"Bangalore Rular, Bangalore Urban, Chitradurga, Hassan ",KARNATAKA,NA,NA,NA,NA,1,4,NA,NA,One person died &  4 other injured,"Damage to more than 3000 Banana plants, Onion crop in 40 acre land, Coconut trees, pomegranate, Betel nuts reported. ii) Damage to Rose garden causing loss of lakhs of rupees reported. iii) Damage to many houses reported.  ",IMD,NA
UEI-IMD-FL-2015-0038,2015-06-20,2015-06-25,5,Heavy rains & Flood,NA,"Chickmangalur, Dakshina Kannada, Hassan,  Kodagu, Shimoga ",KARNATAKA,NA,NA,NA,NA,8,8,NA,NA,8 persons died &  8 persons injured. ,i) Damage to Betel nut crops reported. ii) Damage to many houses reported.  iii) About 400 electric poles uprooted causing disruption in power supply for a week,IMD,NA
UEI-IMD-FL-2015-0039,2015-10-07,2015-07-20,Diffing the dates,Heavy rains,NA,"Bellary ,Dakshina Kannada, Udupi ",KARNATAKA,NA,NA,NA,NA,10,NA,NA,NA,10 persons died,NA,IMD,NA
UEI-IMD-FL-2015-0040,2015-09-29,2015-09-29,0,Heavy rains,NA,Uttara Kannada ,KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Damage to 200 acres of Sugarcane & 70 acres of Banana plantation reported. ,IMD,NA
